開始時間,結束時間,內容
00:00:00.000,00:00:02.400,歡迎來到行銷半徑大城市
00:00:02.400,00:00:03.400,我是Ivan
00:00:03.400,00:00:05.800,這一整個系列課程
00:00:05.800,00:00:07.800,我們要講述的是什麼東西呢
00:00:07.800,00:00:09.800,我們要跟大家介紹怎麼樣
00:00:09.800,00:00:11.800,大家一步一步的去搭建
00:00:11.800,00:00:15.200,屬於自己的Light的聊天機器人
00:00:15.200,00:00:17.600,"好,所以我們在開始"
00:00:17.600,00:00:19.800,我們整個一些程式碼
00:00:19.800,00:00:22.800,或者是教大家一些雲端部署概念之前
00:00:22.800,00:00:25.800,我們要先講解一下整個雲端
00:00:25.800,00:00:27.800,怎麼樣去做操作
00:00:27.800,00:00:30.400,然後我們這個機器人怎麼樣搭建起來
00:00:30.400,00:00:32.800,還有它的運作原理到底是什麼
00:00:32.800,00:00:35.800,"好,所以我這堂課就跟大家介紹一下"
00:00:35.800,00:00:37.000,這整個流程
00:00:37.000,00:00:40.600,還有我們這個示意圖的方式來展現給各位
00:00:40.600,00:00:44.200,"好,首先就是我們先來看一下"
00:00:44.200,00:00:47.400,在最左邊這個就是你寫的程式碼
00:00:47.400,00:00:50.800,因為我們這堂課程主要還是會有一些程式的東西
00:00:50.800,00:00:52.800,才能去控制我們的機器人
00:00:52.800,00:00:55.800,因為程式去寫機器人的好處是什麼
00:00:55.800,00:00:57.800,"當然壞處,先說壞處"
00:00:57.800,00:01:00.800,就是因為那你就要學程式
00:01:00.800,00:01:02.800,但是好處是什麼呢
00:01:02.800,00:01:04.800,就是如果我會程式以後
00:01:04.800,00:01:08.800,我可以隨心所欲的製造出我任何我想要的機器人
00:01:08.800,00:01:10.800,甚至我在這個工作中
00:01:10.800,00:01:15.800,可能客戶需要我可以直接製作一個客製化的給客戶
00:01:15.800,00:01:19.800,甚至可能可以為你或你的公司帶來一些收入
00:01:19.800,00:01:22.800,"好,那怎麼樣把我這個程式碼"
00:01:22.800,00:01:24.800,弄到我的手機裡面
00:01:24.800,00:01:26.800,讓我手機的這個通訊軟體
00:01:26.800,00:01:27.800,可以呢
00:01:27.800,00:01:28.800,可以展現出來
00:01:28.800,00:01:30.800,甚至也可以把這個機器人呢
00:01:30.800,00:01:33.800,讓別人加好友也可以一起做使用
00:01:33.800,00:01:36.800,"好,這途中到底經歷過什麼事情"
00:01:36.800,00:01:39.800,"好,那我們在這整堂課程中呢"
00:01:39.800,00:01:42.800,我們會先經歷過以下的動作
00:01:42.800,00:01:43.800,首先呢
00:01:43.800,00:01:46.800,我們會把您的這個程式碼呢
00:01:46.800,00:01:49.800,先傳送到一個叫做GitHub的網站
00:01:49.800,00:01:50.800,"好,那大家呢"
00:01:50.800,00:01:52.800,我們在後面的課程會跟大家說
00:01:52.800,00:01:54.800,這個網站是做什麼的
00:01:54.800,00:01:56.800,那大家首先只要知道這個網站呢
00:01:56.800,00:01:59.800,是來幫我們儲存程式碼所使用的
00:01:59.800,00:02:01.800,就這樣子而已
00:02:01.800,00:02:03.800,"好,那你會說"
00:02:03.800,00:02:06.800,幹嘛特別要創造一個來儲存程式碼呢
00:02:06.800,00:02:10.800,"好,那這個待會後面會跟各位做介紹"
00:02:10.800,00:02:11.800,"好,然後呢"
00:02:11.800,00:02:16.800,我們先將我們的程式碼丟到這個GitHub這個網站以後呢
00:02:16.800,00:02:17.800,接下來呢
00:02:17.800,00:02:18.800,接下來這個網站呢
00:02:18.800,00:02:20.800,我們會利用部署的方式
00:02:20.800,00:02:22.800,把它部署到一個叫做Heroku
00:02:22.800,00:02:23.800,"好,那這個東西呢"
00:02:23.800,00:02:25.800,它其實是一個雲端的server
00:02:25.800,00:02:26.800,你把它想成是
00:02:26.800,00:02:32.800,我在這個美國的某一個機房裡面租了一台電腦的概念
00:02:32.800,00:02:33.800,但是呢我們用的是免費的
00:02:33.800,00:02:36.800,就是它呢有這個免費的額度可以讓我們使用
00:02:36.800,00:02:42.800,你在這個512MB的這個容量裡面都可以做使用
00:02:42.800,00:02:45.800,那這個手機的這個機器人它的容量其實不多
00:02:45.800,00:02:47.800,所以用這個呢剛剛好
00:02:47.800,00:02:49.800,所以大家也不需要做付費
00:02:49.800,00:02:52.800,"好,那這個GitHub呢到Heroku"
00:02:52.800,00:02:55.800,這中間這個動作叫做部署
00:02:55.800,00:02:57.800,這個部署是什麼樣子的概念呢
00:02:57.800,00:02:58.800,就好像呢今天呢
00:02:58.800,00:03:02.800,我把我的這個程式碼傳到GitHub上面
00:03:02.800,00:03:03.800,這個叫傳送檔案嘛
00:03:03.800,00:03:05.800,這就很像是什麼
00:03:05.800,00:03:07.800,很像我把那個招兵買馬
00:03:07.800,00:03:09.800,然後呢送進訓練營裡面
00:03:09.800,00:03:11.800,做訓練這樣子
00:03:11.800,00:03:13.800,這就是上傳檔案的動作
00:03:13.800,00:03:15.800,那當GitHub傳到這個Heroku
00:03:15.800,00:03:16.800,這個叫做部署
00:03:16.800,00:03:17.800,那這種概念很像什麼呢
00:03:17.800,00:03:19.800,就是我把訓練好的士兵呢
00:03:19.800,00:03:21.800,就是直接送到戰場上
00:03:21.800,00:03:24.800,要開始呢這個跟敵軍們呢
00:03:24.800,00:03:26.800,跟敵軍面對面作戰了
00:03:26.800,00:03:30.800,那所以這個就是我要安排我的這些部隊嘛
00:03:30.800,00:03:32.800,到它指定的地點
00:03:32.800,00:03:33.800,然後開始作戰
00:03:33.800,00:03:35.800,所以部署的概念就很像這樣
00:03:35.800,00:03:38.800,我把我的程式碼安排到它該有的位置
00:03:38.800,00:03:40.800,然後它要運行了
00:03:40.800,00:03:42.800,可以讓我的機器人活起來了
00:03:42.800,00:03:43.800,所以到部署的時候呢
00:03:43.800,00:03:45.800,我的機器人就會活起來了
00:03:45.800,00:03:47.800,"好,但是呢我這個Heroku啊"
